/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('right', 'green', None, None, None)
('forward', 'red', 'left', 'right', None)
 -- forward : -7.41
 -- None : 0.48
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right', 'forward')
 -- forward : -5.41
 -- None : 0.00
 -- right : 0.88
 -- left : 0.00

('forward', 'green', None, 'right', None)
 -- forward : 1.28
 -- None : -2.18
 -- right : 0.41
 -- left : 0.00

('left', 'red', 'forward', 'forward', 'right')
 -- forward : -19.76
 -- None : 0.00
 -- right : 0.00
 -- left : -20.04

('left', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- None : -2.51
 -- right : 0.77
 -- left : 1.83

('left', 'red', 'right', None, 'right')
 -- forward : -4.69
 -- None : 0.94
 -- right : 0.00
 -- left : -19.65

('right', 'green', 'right', 'left', None)
 -- forward : 0.19
 -- None : 0.00
 -- right : 0.00
 -- left : 0.16

('left', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- None : 1.38
 -- right : 0.00
 -- left : -29.71

('left', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.34
 -- left : 0.00

('forward', 'green', None, 'right', 'forward')
 -- forward : 1.55
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right', 'left')
 -- forward : -8.20
 -- None : 0.88
 -- right : 0.00
 -- left : -4.75

('left', 'green', 'left', 'forward', 'left')
 -- forward : 0.39
 -- None : -4.32
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'right', None)
 -- forward : 1.26
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : -2.45
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'right', None)
 -- forward : 0.00
 -- None : 1.50
 -- right : -9.73
 -- left : 0.00

('left', 'green', None, None, None)
 -- forward : 0.52
 -- None : -4.94
 -- right : 1.28
 -- left : 1.82

('left', 'red', 'right', None, None)
 -- forward : -7.31
 -- None : 0.00
 -- right : 0.27
 -- left : -4.79

('left', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.54

('right', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.62
 -- left : -4.63

('left', 'green', None, 'right', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.04
 -- left : 1.37

('forward', 'red', 'forward', 'forward', 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -19.79

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.67
 -- left : 0.00

('right', 'red', 'left', 'left', 'right')
 -- forward : -5.32
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- None : -3.00
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, None, 'right')
 -- forward : 0.35
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', None, 'left')
 -- forward : 2.56
 -- None : 0.00
 -- right : 0.35
 -- left : 0.00

('right', 'green', 'right', None, 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.90
 -- left : 0.00

('forward', 'red', 'forward', 'right', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : -10.00
 -- left : 0.00

('left', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- None : -2.04
 -- right : 0.00
 -- left : 1.55

('right', 'red', None, None, 'forward')
 -- forward : -10.28
 -- None : 0.89
 -- right : 1.56
 -- left : -8.21

('left', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.34
 -- left : 0.00

('forward', 'red', 'left', 'forward', 'left')
 -- forward : 0.00
 -- None : 2.23
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -19.59

('forward', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- None : 1.01
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'left', 'left', 'right')
 -- forward : 0.00
 -- None : -2.15
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', None, None)
 -- forward : 0.13
 -- None : -2.08
 -- right : 0.00
 -- left : 1.17

('right', 'red', 'forward', None, 'left')
 -- forward : -20.13
 -- None : 1.27
 -- right : -17.62
 -- left : -19.56

('forward', 'red', 'forward', 'left', 'right')
 -- forward : -19.60
 -- None : 0.00
 -- right : 0.00
 -- left : -20.42

('right', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- None : 0.00
 -- right : 2.30
 -- left : 0.28

('forward', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- None : 2.43
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'forward', 'left')
 -- forward : -20.19
 -- None : 0.00
 -- right : 1.37
 -- left : -19.89

('forward', 'red', 'right', 'right', None)
 -- forward : 0.00
 -- None : 0.49
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.09

('left', 'green', 'right', None, 'left')
 -- forward : 1.19
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'right', 'right')
 -- forward : 0.59
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, None)
 -- forward : 2.05
 -- None : -4.07
 -- right : 0.49
 -- left : 0.19

('left', 'red', 'right', None, 'forward')
 -- forward : 0.00
 -- None : 1.69
 -- right : 0.33
 -- left : -4.57

('forward', 'red', 'left', 'right', 'left')
 -- forward : -4.80
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, 'left')
 -- forward : 2.00
 -- None : -3.49
 -- right : 0.45
 -- left : 0.56

('forward', 'red', 'forward', 'forward', None)
 -- forward : -19.73
 -- None : 1.56
 -- right : -15.54
 -- left : -19.92

('right', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- None : -2.80
 -- right : 0.00
 -- left : 0.77

('left', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.40
 -- left : 0.00

('forward', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- None : 0.69
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward', None)
 -- forward : -37.76
 -- None : 0.00
 -- right : 1.08
 -- left : -20.25

('right', 'red', 'right', 'left', 'right')
 -- forward : 0.00
 -- None : 0.80
 -- right : 0.00
 -- left : -19.90

('forward', 'red', 'left', None, None)
 -- forward : -4.68
 -- None : 1.31
 -- right : 0.49
 -- left : -4.94

('right', 'red', 'right', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.11
 -- left : 0.00

('forward', 'green', None, 'left', 'forward')
 -- forward : 0.33
 -- None : -4.01
 -- right : 0.00
 -- left : 0.64

('right', 'red', 'right', None, 'left')
 -- forward : -4.87
 -- None : 0.00
 -- right : 0.95
 -- left : -5.09

('right', 'red', 'right', 'left', None)
 -- forward : -4.94
 -- None : 0.04
 -- right : 1.87
 -- left : 0.00

('left', 'red', 'left', None, None)
 -- forward : -8.49
 -- None : 0.00
 -- right : 1.30
 -- left : -7.42

('left', 'red', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.01

('forward', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', 'right', 'left')
 -- forward : 0.00
 -- None : 0.14
 -- right : -10.27
 -- left : 0.00

('forward', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- None : 1.93
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, None, 'right')
 -- forward : 0.00
 -- None : 0.39
 -- right : 1.35
 -- left : -19.80

('left', 'green', 'forward', 'forward', 'left')
 -- forward : 0.00
 -- None : -2.72
 -- right : 0.00
 -- left : 0.82

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : -19.73
 -- None : 0.00
 -- right : -10.23
 -- left : 0.00

('forward', 'red', 'forward', None, None)
 -- forward : -35.17
 -- None : 1.61
 -- right : 0.00
 -- left : -19.99

('forward', 'red', None, None, None)
 -- forward : -10.00
 -- None : 2.03
 -- right : 0.42
 -- left : -10.19

('right', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- None : 0.24
 -- right : 0.00
 -- left : -20.07

('forward', 'green', 'left', 'forward', None)
 -- forward : 1.96
 -- None : -4.02
 -- right : 0.46
 -- left : 0.00

